date,customer_name,amount,bank_name,receipt_no,invoice_no,bill_date,bill_amount,payment_mode,team_id
"2025-04-03","SHIVA MEDICOS - KANWALI ROAD",300.0,"","","","",,"Cash",MA
"2025-04-03","SHREE RAM MEDICAL - BALLIWALA CHOWK",2098.0,"","","","",,"Cash",MA
"2025-04-02","SHIVA DEPARTMENTAL - SD ROAD",2000.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-03","VATAVARAN HOME CARE SHOP - YAMUNA C",500.0,"","","","",,"Cash",MA
"2025-04-02","FRESH N EASY 2 - OLD MUSSOORIE ROAD",29759.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-02","FRESH N EASY",30540.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-02","Y T ENTERPRISES - MUSSORIE",14812.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-03","BEAUTY CRAZE - KARANPUR",745.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-03","AARJOO BOUTIQUE & COSMETIC - RAIPUR",500.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-03","GOYAL MEDICAL STORE - GOVIND GARH",348.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-03","RAMOLA MEDICOS - LADPUR",596.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-04","RAWAT BROTHERS - PREMNAGAR",210.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-04","KHALSA COSMETIC - PREMNAGAR",193.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-04","SHIVA MEDICAL - PREM NAGAR",500.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-03","COSMOS FULLCART - KARANPUR",300.0,"","","","",,"Cash",MA
"2025-04-03","GARHWAL MEDICAL - KARANPUR",836.0,"","","","",,"Cash",MA
"2025-04-03","INDIAN MEDICAL - DAV CHOWK",500.0,"","","","",,"Cash",MA
"2025-04-03","MODERN GEN STORE - KARANPUR",509.0,"","","","",,"Cash",MA
"2025-04-03","NEW PRAKASH - KARANPUR",1000.0,"","","","",,"Cash",MA
"2025-04-03","POONAM GEN STORE - KARANPUR",315.0,"","","","",,"Cash",MA
"2025-04-03","STYLISH SMILE - DL ROAD",391.0,"","","","",,"Cash",MA
"2025-04-03","B LAL & COMAPNY - TAPOVAN",415.0,"","","","",,"Cash",MA
"2025-04-03","KOMAL COSMETICS - RAIPUR",1000.0,"","","","",,"Cash",MA
"2025-04-03","LAXMI COSMETICS - RAIPUR ROAD",362.0,"","","","",,"Cash",MA
"2025-04-03","PANWAR GEN STORE - LADPUR",1500.0,"","","","",,"Cash",MA
"2025-04-03","RAMOLA DEPARTMENTAL STORE - RAIPUR",3000.0,"","","","",,"Cash",MA
"2025-04-03","SANTOSH COSMETICS - RAIPUR",300.0,"","","","",,"Cash",MA
"2025-04-03","SAPNA COLLECTION - TAPOVAN ROAD",696.0,"","","","",,"Cash",MA
"2025-04-03","SAPNA COLLECTION - TAPOVAN ROAD",104.0,"","","","",,"Cash",MA
"2025-04-03","SHANTI MEDICAL - TAPOVAN",94.0,"","","","",,"Cash",MA
"2025-04-03","SHANTI MEDICAL - TAPOVAN",6.0,"","","","",,"Cash",MA
"2025-04-03","SHRAVYA COSMETICS - RAIPUR",300.0,"","","","",,"Cash",MA
"2025-04-03","SPARKLE COSMETICS - TAPOVAN",500.0,"","","","",,"Cash",MA
"2025-04-02","ADITIYA GEN STORE - RAJPUR ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","AMBIKA COSMETICS - RAJPUR VILLAGE",976.0,"","","","",,"Cash",MA
"2025-04-02","AMBIKA COSMETICS - RAJPUR VILLAGE",24.0,"","","","",,"Cash",MA
"2025-04-02","BALI MEDICOS - RAJPUR ROAD",1316.0,"","","","",,"Cash",MA
"2025-04-02","BHATT MEDICOSE - MALSI",404.0,"","","","",,"Cash",MA
"2025-04-02","BRIJ DEPT. STORE - RAJPUR UPPER",562.0,"","","","",,"Cash",MA
"2025-04-02","CHAUDHARY MEDICOS - RAJPUR ROAD",500.0,"","","","",,"Cash",MA
"2025-04-02","HEALING TOUCH CHEMIST - RAJPUR",500.0,"","","","",,"Cash",MA
"2025-04-02","JAN AUSHUDHI - RAJPUR",830.0,"","","","",,"Cash",MA
"2025-04-02","MAHEK PROV STORE - JHAKHAN",412.0,"","","","",,"Cash",MA
"2025-04-02","PHARMACY - RAJPUR ROAD",306.0,"","","","",,"Cash",MA
"2025-04-02","RANA DEPT - JOHRI GAON",150.0,"","","","",,"Cash",MA
"2025-04-02","SAI STORE - JOHRI GAON",300.0,"","","","",,"Cash",MA
"2025-04-02","SUGAN CHAND - RAJPUR",491.0,"","","","",,"Cash",MA
"2025-04-02","SUGAN CHAND - RAJPUR",509.0,"","","","",,"Cash",MA
"2025-04-02","SUR SAGAR COMMUNICATION - JAKHAN",509.0,"","","","",,"Cash",MA
"2025-04-02","YUVIKA MINI MART - JOHRI GAON",1000.0,"","","","",,"Cash",MA
"2025-04-03","NEW HEALTHCARE PHARMACY - NATTANWAL",1000.0,"","","","",,"Cash",MA
"2025-04-04","A R MEDICOS - CHAKRATA ROAD",200.0,"","","","",,"Cash",MA
"2025-04-04","GUPTA ENTERPRISES - RAMADA HOTEL",1000.0,"","","","",,"Cash",MA
"2025-04-04","MEHENDAR GENERAL STORE - PANDITWARI",2000.0,"","","","",,"Cash",MA
"2025-04-04","PHOENIX SOLUTION - RAJENDRA NAGAR",342.0,"","","","",,"Cash",MA
"2025-04-04","PRAGATI GEN STORE - CHAKRATA ROAD",1742.0,"","","","",,"Cash",MA
"2025-04-04","SIDDHI COLLECTION - RAJENDAR NAGAR",500.0,"","","","",,"Cash",MA
"2025-04-04","SUHAG BANGLE - SEEMA DWAR",70.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-04","SUHAG BANGLE - SEEMA DWAR",230.0,"HDFC A/C","","","",,"Bank Transfer",MA
"2025-04-04","SHIV MEDICAL - TAPOVAN ROAD",1423.0,"HDFC A/C","","","",,"Bank Transfer",MA
