name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,team_id
"RO POWER","RO POWER","","82914","NIVEA","NIVEA",179.99,"50 ML",outOfStock,0,18,pcs,MA
"SOFT  25 ML","SOFT  25 ML","","89053","NIVEA","NIVEA",41.25,"25 ML",available,8,18,pcs,MA
"MEN DARK CREME  75 ML","MEN DARK CREME  75 ML","","83927","NIVEA","NIVEA",194.25,"75 ML",outOfStock,0,18,pcs,MA
"MEN DARK CREME 150 ML","MEN DARK CREME 150 ML","","83926","NIVEA","NIVEA",344.23,"150 ML",outOfStock,0,18,pcs,MA
"MEN CREME 75 ML","MEN CREME 75 ML","","83922","NIVEA","NIVEA",206.25,"75 ML",outOfStock,0,18,pcs,MA
"OIL CONTROL MFW  50 ML","OIL CONTROL MFW  50 ML","","88868","NIVEA","NIVEA",89.25,"50 ML",outOfStock,0,18,pcs,MA
"OLD MOIS DARK SPOT 50 ML","OLD MOIS DARK SPOT 50 ML","","88527","NIVEA","NIVEA",0,"50 ML",outOfStock,0,18,pcs,MA
"PUMP MFW 150 ML","PUMP MFW 150 ML","","83943","NIVEA","NIVEA",336.73,"150 ML",outOfStock,0,18,pcs,MA
"SHAVING SENSITIVE GEL","SHAVING SENSITIVE GEL","","81740","NIVEA","NIVEA",299.24,"200 ML",available,13,5,pcs,MA
"""SHAVING SENSITIVE FOAM 200ML","SHAVING SENSITIVE FOAM","""SHAVING SENSITIVE FOAM 200ML","PCS","NIVEA","NIVEA",316.06,"200 ML",outOfStock,0,2.5,pcs,MA
"SHAVING SENSITIVE LOTION 100ML NO EXPIRY RETURN","SHAVING SENSITIVE LOTION","SHAVING SENSITIVE LOTION 100ML NO EXPIRY RETURN","81314","NIVEA","NIVEA",243.57,"100 ML",outOfStock,0,5,pcs,MA
"W REFRESHING 150 ML","W REFRESHING 150 ML","","86640","NIVEA","NIVEA",168.74,"150 ML",outOfStock,0,18,pcs,MA
"W PURIFYING 150 ML","W PURIFYING 150 ML","","86642","NIVEA","NIVEA",183.74,"150 ML",outOfStock,0,18,pcs,MA
"EXTRA WHITE NBL 200 ML","EXTRA WHITE NBL 200 ML","","89135","NIVEA","NIVEA",224.25,"200 ML",outOfStock,0,18,pcs,MA
"EVEN TONE  75 ML","EVEN TONE  75 ML","","83801","NIVEA","NIVEA",86.25,"75 ML",outOfStock,0,18,pcs,MA
