name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"SD C AAM PAK GOLI 200GM","SD C AAM PAK GOLI 200GM","SD C AAM PAK GOLI 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C AJWAIN PACHAK 225GM","SD C AJWAIN PACHAK 225GM","SD C AJWAIN PACHAK 225GM","","SHADANI","SHADANI",103.33,"225GM",outOfStock,0,5,pcs,1,MA
"SD C ANARDANA GOLI 200GM","SD C ANARDANA GOLI 200GM","SD C ANARDANA GOLI 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C CHATPATA AMLA 200GM","SD C CHATPATA AMLA 200GM","SD C CHATPATA AMLA 200GM","","SHADANI","SHADANI",103.33,"200GM",outOfStock,0,5,pcs,1,MA
"SD C CHATPATI CANDY 230GM","SD C CHATPATI CANDY 230GM","SD C CHATPATI CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C CHATPATI IMLI 140GM","SD C CHATPATI IMLI 140GM","SD C CHATPATI IMLI 140GM","","SHADANI","SHADANI",96.67,"140GM",outOfStock,0,5,pcs,1,MA
"SD C CHENNAI SAUNF 200GM","SD C CHENNAI SAUNF 200GM","SD C CHENNAI SAUNF 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C COCONUT PEDA 200GM","SD C COCONUT PEDA 200GM","SD C COCONUT PEDA 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C FRUIT BALL'S 260GM","SD C FRUIT BALL'S 260GM","SD C FRUIT BALL'S 260GM","","SHADANI","SHADANI",96.67,"260GM",outOfStock,0,5,pcs,1,MA
"SD C FRUIT JELLY 200GM","SD C FRUIT JELLY 200GM","SD C FRUIT JELLY 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C HAZHAZ SPL 225GM","SD C HAZHAZ SPL 225GM","SD C HAZAM HAZAM SPECIAL 22GM","","SHADANI","SHADANI",96.67,"225GM",outOfStock,0,5,pcs,1,MA
"SD C HING PEDA 200GM","SD C HING PEDA 200GM","SD C HING PEDA 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C IMLI BITE 160 GM","SD C IMLI BITE 160 GM","SD C IMLI BITE 160 GM","","SHADANI","SHADANI",110,"160GM",outOfStock,0,5,pcs,1,MA
"SD C JEERA GOLI 230GM","SD C JEERA GOLI 230GM","SD C JEERA GOLI 230GM","","SHADANI","SHADANI",96.67,"230GM",outOfStock,0,5,pcs,1,MA
"SD C KHAMEE AAMPAK 200GM","SD C KHAMEE AAMPAK 200GM","SD C KHATA MEETHA AAMPAK 200GM","","SHADANI","SHADANI",103.33,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MADHUR IMLI 200GM","SD C MADHUR IMLI 200GM","SD C MADHUR IMLI 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MADRASI SAUNF 200GM","SD C MADRASI SAUNF 200GM","SD C MADRASI SAUNF 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MANGO BITE 160G","SD C MANGO BITE 160G","SD C MANGO BITE 160G","","SHADANI","SHADANI",110,"160GM",outOfStock,0,5,pcs,1,MA
"SD C MANGO SLICE 200GM","SD C MANGO SLICE 200GM","SD C MANGO SLICE 200GM","","SHADANI","SHADANI",103.33,"200GM",outOfStock,0,5,pcs,1,MA
"SD C MIXFRUIT CANDY 230GM","SD C MIXFRUIT CANDY 230GM","SD C MIX FRUIT CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C ORANGE CANDY 230GM","SD C ORANGE CANDY 230GM","SD C ORANGE CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C PAAN MIX SAUNF 200GM","SD C PAAN MIX SAUNF 200GM","SD C PAAN MIX SAUNF 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C PAAN CANDY 230GM","SD C PAAN CANDY 230GM","SD C PAAN CANDY 230GM","","SHADANI","SHADANI",90,"230GM",outOfStock,0,5,pcs,1,MA
"SD C PLAIN MIXSAUNF 215GM","SD C PLAIN MIXSAUNF 215GM","SD C PLAIN MIXSAUNF 215GM","","SHADANI","SHADANI",96.67,"215GM",outOfStock,0,5,pcs,1,MA
"SD C PODINA LADDU 200GM","SD C PODINA LADDU 200GM","SD C PODINA LADDU 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C RAM LADOO 200GM","SD C RAM LADOO 200GM","SD C RAM LADOO 200GM","","SHADANI","SHADANI",96.67,"200GM",outOfStock,0,5,pcs,1,MA
"SD C SHAHI MIXSAUNF 170GM","SD C SHAHI MIXSAUNF 170GM","SD C SHAHI MIXSAUNF 170GM","","SHADANI","SHADANI",103.33,"170GM",outOfStock,0,5,pcs,1,MA
"SD C SUGCOA SAUNF 270GM","SD C SUGCOA SAUNF 270GM","SD C SUGAR COATED SAUNF 270GM","","SHADANI","SHADANI",96.67,"270GM",outOfStock,0,5,pcs,1,MA
"SD C SWEET AMLA 200GM","SD C SWEET AMLA 200GM","SD C SWEET AMLA 200GM","","SHADANI","SHADANI",103.33,"200GM",outOfStock,0,5,pcs,1,MA
"SD C SWEET IMLI 140GM","SD C SWEET IMLI 140GM","SD C SWEET IMLI 140GM","","SHADANI","SHADANI",96.67,"140GM",outOfStock,0,5,pcs,1,MA
"SD BOX KHATTA AAMPAPAD","SD BOX KHATTA AAMPAPAD","SD BOX KHATTA AAMPAPAD","","SHADANI","SHADANI",428.57,"20 UNIT",outOfStock,0,5,pcs,1,MA
"SD BOX MEETHA AAMPAPAD","SD BOX MEETHA AAMPAPAD","SD BOX MEETHA AAMPAPAD","","SHADANI","SHADANI",428.57,"20 UNIT",outOfStock,0,5,pcs,1,MA
"SD P ANARDANA GOLI 100GM","SD P ANARDANA GOLI 100GM","SD P ANARDANA GOLI 100GM","","SHADANI","SHADANI",386.67,"100GM",outOfStock,0,5,pcs,1,MA
"SD P CHATPATI CANDY 100GM","SD P CHATPATI CANDY 100GM","SD P CHATPATI CANDY 100GM","","SHADANI","SHADANI",320,"100GM",outOfStock,0,5,pcs,1,MA
"SD P HING PEDA 100GM","SD P HING PEDA 100GM","SD P HING PEDA 100GM","","SHADANI","SHADANI",413.33,"100GM",outOfStock,0,5,pcs,1,MA
