name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"KAI KNIFE BREAD","KAI KNIFE BREAD","KNIFE HOCHO BREAD","5173","KAI","KAI",380.73,"PCS",available,21,18,pcs,1,JA
"BK FRANKINCENSE OIL 20ML","BK FRANKINCENSE OIL 20ML","BK FRANKINCENSE OIL 20ML","","AROMA MAGIC","AROMA MAGIC",444.92,"20ML",available,1,18,pcs,1,JA
"DEO ECHO","DEO ECHO","DEO ECHO","","LAFZ","LAFZ",176.55,"PCS",available,24,18,pcs,1,JA
"DEO DAWN","DEO DAWN","DEO DAWN","","LAFZ","LAFZ",176.55,"PCS",outOfStock,0,18,pcs,1,JA
"DEO FIRE","DEO FIRE","DEO FIRE","","LAFZ","LAFZ",176.55,"PCS",available,18,18,pcs,1,JA
"SHOT MIX","SHOT MIX","SHOT MIX","","LAYER","LAYER",149.91,"135ML",outOfStock,0,18,pcs,1,JA
"KAI KNIFE PEELING","KAI KNIFE PEELING","KAI KNIFE PEELING","","KAI","KAI",82.63,"PCS",outOfStock,0,18,pcs,1,JA
"KAI RAZOR HIBISCUS PRO 1P","KAI RAZOR HIBISCUS PRO 1P","KAI RAZOR HIBISCUS PRO 1P","","KAI","KAI",50.21,"1 PCS",available,77,18,pcs,1,JA
"BO GLOW MINI","BO GLOW MINI","GLOW MINI 150ML","","BONNE","BONNE",123.02,"PCS",available,7,5,pcs,1,JA
"SHOT ICONIC","SHOT ICONIC","SHOT ICONIC","","LAYER","LAYER",169.49,"135ML",outOfStock,0,18,pcs,1,JA
"SHOT IMPERIAL","SHOT IMPERIAL","SHOT IMPERIAL","","LAYER","LAYER",169.49,"135ML",outOfStock,0,18,pcs,1,JA
"SHOT SPORTY","SHOT SPORTY","SHOT SPORTY","","LAYER","LAYER",169.49,"135ML",outOfStock,0,18,pcs,1,JA
"SHOT ULTIMA","SHOT ULTIMA","SHOT ULTIMA","","LAYER","LAYER",169.49,"135ML",outOfStock,0,18,pcs,1,JA
"BY SUNFLOWER SEES 250GM","BY SUNFLOWER SEES 250GM","BY SUNFLOWER SEES 250GM","","BAGRRY","BAGRRY",161.49,"PCS",outOfStock,0,5,pcs,1,JA
"BY WATERMELON SEEDS 250GM","BY WATERMELON SEEDS 250GM","BY WATERMELON SEEDS 250GM","","BAGRRY","BAGRRY",330.44,"PCS",outOfStock,0,5,pcs,1,JA
"RY DEO PARTY WEAR BOOM","RY DEO PARTY WEAR BOOM","RY DEO PARTY WEAR BOOM","","RIYA","RIYA",155.36,"200ML",outOfStock,0,18,pcs,1,JA
"B.BLEND SPONGE FLAT BOTTO","B.BLEND SPONGE FLAT BOTTO","B.BLEND SPONGE FLAT BOTTO","","GUBB","GUBB",143.01,"PCS",outOfStock,0,18,pcs,1,JA
"B.BLEND SPONGE FLAT SIDE","B.BLEND SPONGE FLAT SIDE","B.BLEND SPONGE FLAT SIDE","","GUBB","GUBB",143.01,"PCS",available,18,18,pcs,1,JA
"B.BLEND SPONGE PEAR SHAPE","B.BLEND SPONGE PEAR SHAPE","B.BLEND SPONGE PEAR SHAPE","","GUBB","GUBB",162.08,"PCS",available,3,18,pcs,1,JA
"B.BLEND SPONGE RED","B.BLEND SPONGE RED","B.BLEND SPONGE RED","","GUBB","GUBB",158.9,"PCS",available,32,18,pcs,1,JA
"B.BLEND SPONGE ROUND EDGE","B.BLEND SPONGE ROUND EDGE","B.BLEND SPONGE ROUND EDGE","","GUBB","GUBB",162.08,"PCS",outOfStock,0,18,pcs,1,JA
"COTTON BUDS POUCH 100S","COTTON BUDS POUCH 100S","GUBB COTTON BUDS POUCH 100S","","GUBB","GUBB",39.29,"PCS",available,5,5,pcs,1,JA
"EAR PLUG WITH CORD","EAR PLUG WITH CORD","EAR PLUG WITH CORD","","GUBB","GUBB",73.1,"PCS",available,60,18,pcs,1,JA
"FACE SCULPTING VIBRATING","FACE SCULPTING VIBRATING","FACE SCULPTING VIBRATING","","GUBB","GUBB",782.16,"PCS",outOfStock,0,5,pcs,1,JA
"LOOFA BIN","LOOFA BIN","LOOFA BIN","","GUBB","GUBB",1,"PCS",available,2,18,pcs,1,JA
"TCLEANER COPPER SET OF 2","TCLEANER COPPER SET OF 2","TCLEANER COPPER SET OF 2","","GUBB","GUBB",127.12,"PCS",available,43,18,pcs,1,JA
"TROPICAL OVAL BRUS","TROPICAL OVAL BRUS","TROPICAL OVAL BRUS","","GUBB","GUBB",200.22,"PCS",available,24,18,pcs,1,JA
"HMADE DETANGLE","HMADE DETANGLE","HMADE DETANGLE","","GUBB","GUBB",117.86,"PCS",outOfStock,0,5,pcs,1,JA
"BY WHEAT BRAN 500GM","BY WHEAT BRAN 500GM","BY WHEAT BRAN 500GM","","BAGRRY","BAGRRY",111.8,"500GM",outOfStock,0,5,pcs,1,JA
"KAI TSUMEKIRI KIDS MIX","KAI TSUMEKIRI KIDS MIX","KAI TSUMEKIRI KIDS MIX","","KAI","KAI",108.05,"PCS",available,19,18,pcs,1,JA
"KAI RAZOR HIBISCUS PACK25","KAI RAZOR HIBISCUS PACK25","KAI RAZOR HIBISCUS PACK25","","KAI","KAI",406.78,"PACK-25",available,81,18,pcs,1,JA
"KAI KITCHEN BIG GREEN","KAI KITCHEN BIG GREEN","KITCHEN BIG GREEN","5133","KAI","KAI",94.7,"PCS",available,45,18,pcs,1,JA
"KAI KITCHEN BIG YELLOW","KAI KITCHEN BIG YELLOW","KITCHEN BIG YELLOW","5134","KAI","KAI",94.7,"PCS",available,34,18,pcs,1,JA
"KAI KITCHEN BIG PINK","KAI KITCHEN BIG PINK","KITCHEN BIG PINK","5131","KAI","KAI",94.7,"PCS",available,27,18,pcs,1,JA
"KAI KITCHEN BIG BLACK","KAI KITCHEN BIG BLACK","KITCHEN BIG BLACK","5136","KAI","KAI",94.7,"PCS",available,3,18,pcs,1,JA
"KAI KITCHEN BIG BLUE","KAI KITCHEN BIG BLUE","KITCHEN BIG BLUE","5132","KAI","KAI",94.7,"PCS",available,15,18,pcs,1,JA
"KAI VEGETABLE BIG GREEN","KAI VEGETABLE BIG GREEN","VEGETABLE BIG GREEN","5143","KAI","KAI",94.7,"PCS",available,6,18,pcs,1,JA
"KAI VEGETABLE BIG YELLOW","KAI VEGETABLE BIG YELLOW","VEGETABLE BIG YELLOW","5144","KAI","KAI",94.7,"PCS",available,62,18,pcs,1,JA
"KAI VEGETABLE BIG PINK","KAI VEGETABLE BIG PINK","VEGETABLE BIG PINK","5141","KAI","KAI",94.7,"PCS",available,30,18,pcs,1,JA
"KAI VEGETABLE BIG BLACK","KAI VEGETABLE BIG BLACK","VEGETABLE BIG BLACK","5146","KAI","KAI",94.7,"PCS",available,30,18,pcs,1,JA
"KAI VEGETABLE BIG BLUE","KAI VEGETABLE BIG BLUE","VEGETABLE BIG BLUE","5142","KAI","KAI",94.7,"PCS",available,31,18,pcs,1,JA
"KAI KITCHEN SHORT GREEN","KAI KITCHEN SHORT GREEN","KITCHEN SHORT GREEN","5153","KAI","KAI",88.34,"PCS",available,37,18,pcs,1,JA
"KAI KITCHEN SHORT YELLOW","KAI KITCHEN SHORT YELLOW","KITCHEN SHORT YELLOW","5154","KAI","KAI",88.34,"PCS",available,27,18,pcs,1,JA
