name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,team_id
"LIP COLOR 1 POWER RED","LIP COLOR 1 POWER RED","","C1","LAFZ","LAFZ",458.33,"NO. 1",available,24,18,pcs,JA
"LIP COLOR 2 R.MAROON","LIP COLOR 2 R.MAROON","","C2","LAFZ","LAFZ",458.33,"NO. 2",available,19,18,pcs,JA
"LIP COLOR 3 CORAL","LIP COLOR 3 CORAL","","C3","LAFZ","LAFZ",458.33,"NO. 3",available,33,18,pcs,JA
"LIP COLOR 4 WOOED NUDE","LIP COLOR 4 WOOED NUDE","","C4","LAFZ","LAFZ",458.33,"NO. 4",available,13,18,pcs,JA
"LIP COLOR 5 T.BERRY","LIP COLOR 5 T.BERRY","","C5","LAFZ","LAFZ",458.33,"NO. 5",available,31,18,pcs,JA
"LIP COLOR 6 MYSTIC MAU","LIP COLOR 6 MYSTIC MAU","","C6","LAFZ","LAFZ",458.33,"NO. 6",available,38,18,pcs,JA
"LIP COLOR 7 PINK SHADE","LIP COLOR 7 PINK SHADE","","C7","LAFZ","LAFZ",458.33,"NO. 7",available,33,18,pcs,JA
"LIP COLOR 8 FUSCHIA","LIP COLOR 8 FUSCHIA","","C8","LAFZ","LAFZ",458.33,"NO. 8",available,15,18,pcs,JA
"LIPSTICK 1 RED","LIPSTICK 1 RED","","S1","LAFZ","LAFZ",423.02,"NO. 1",available,20,18,pcs,JA
"LIPSTICK 2 BURGUNDY","LIPSTICK 2 BURGUNDY","","S2","LAFZ","LAFZ",423.02,"NO. 2",available,25,18,pcs,JA
"LIPSTICK 3 TANGERINE","LIPSTICK 3 TANGERINE","","S3","LAFZ","LAFZ",423.02,"NO. 3",available,23,18,pcs,JA
"LIPSTICK 4 BARE BEAUTY","LIPSTICK 4 BARE BEAUTY","","S4","LAFZ","LAFZ",423.02,"NO. 4",available,27,18,pcs,JA
"LIPSTICK 5 BLUSHING BE","LIPSTICK 5 BLUSHING BE","","S5","LAFZ","LAFZ",423.02,"NO. 5",available,19,18,pcs,JA
"LIPSTICK 6 H.FUSCHIA","LIPSTICK 6 H.FUSCHIA","","S6","LAFZ","LAFZ",423.02,"NO. 6",available,20,18,pcs,JA
"LIPSTICK 7 APRICOT BLU","LIPSTICK 7 APRICOT BLU","","S7","LAFZ","LAFZ",423.02,"NO. 7",available,6,18,pcs,JA
"LIPSTICK 8 MAUVE","LIPSTICK 8 MAUVE","","S8","LAFZ","LAFZ",423.02,"NO. 8",available,21,18,pcs,JA
"LIPSTICK 9 CHERRY NECT","LIPSTICK 9 CHERRY NECT","","S9","LAFZ","LAFZ",423.02,"NO. 9",available,30,18,pcs,JA
"LIPSTICK10 M.PLUM","LIPSTICK10 M.PLUM","","S10","LAFZ","LAFZ",423.02,"NO. 10",available,19,18,pcs,JA
"LCC COMPACT 1 IVORY","LCC COMPACT 1 IVORY","","CC1","LAFZ","LAFZ",387.71,"NO. 1",outOfStock,0,18,pcs,JA
"SERVICE ACCOUNTING","SERVICE ACCOUNTING","","","OTHER","OTHER",0,"NA",outOfStock,0,18,pcs,JA
"KAJAL BLINK IT","KAJAL BLINK IT","","","LAFZ","LAFZ",126.41,".35 GM",available,79,18,pcs,JA
"FW VITAMIN C 100ML","FW VITAMIN C 100ML","","","LAFZ","LAFZ",211.16,"100 ML",available,21,18,pcs,JA
"SERUM VITAMIN C 30ML","SERUM VITAMIN C 30ML","","","LAFZ","LAFZ",246.47,"30 ML",available,8,18,pcs,JA
"FW TEA TREE FOR MEN 100ML","FW TEA TREE FOR MEN 100ML","","","LAFZ","LAFZ",211.16,"100 ML",available,16,18,pcs,JA
"FW TEA TREE 100ML WOMAN","FW TEA TREE 100ML WOMAN","","","LAFZ","LAFZ",246.47,"100 ML",outOfStock,0,18,pcs,JA
"SERUM TEA TREE 30ML","SERUM TEA TREE 30ML","","","LAFZ","LAFZ",352.4,"30 ML",available,24,18,pcs,JA
"FW APPLE CIDER 100ML","FW APPLE CIDER 100ML","","","LAFZ","LAFZ",246.47,"100 ML",available,1,18,pcs,JA
"FW CAFFEIN 100ML","FW CAFFEIN 100ML","","","LAFZ","LAFZ",246.47,"100 ML",available,12,18,pcs,JA
"H.SERUM BLACK SEED 50ML","H.SERUM BLACK SEED 50ML","","","LAFZ","LAFZ",317.09,"50 ML",available,16,18,pcs,JA
"FACE MASK COFFEE 50GM","FACE MASK COFFEE 50GM","","","LAFZ","LAFZ",211.16,"50 GM",available,19,18,pcs,JA
"NIGHT CREAM VITAM C","NIGHT CREAM VITAM C","","","LAFZ","LAFZ",317.09,"50 GM",available,24,18,pcs,JA
"FACE MASK VITAMIN C 50GM","FACE MASK VITAMIN C 50GM","","","LAFZ","LAFZ",211.16,"50 GM",available,12,18,pcs,JA
"FOOT CREAM 50GM","FOOT CREAM 50GM","","","LAFZ","LAFZ",84.75,"PCS",available,1,18,pcs,JA
"LIPBALM CHERRY","LIPBALM CHERRY","","","LAFZ","LAFZ",105.93,"PCS",available,35,18,pcs,JA
"LIPBALM COCOA BUTTER","LIPBALM COCOA BUTTER","","","LAFZ","LAFZ",105.93,"PCS",available,41,18,pcs,JA
"LIPBALM STRAWBERRY","LIPBALM STRAWBERRY","","","LAFZ","LAFZ",105.93,"PCS",available,30,18,pcs,JA
"LIPBALM VANILLA PCS","LIPBALM VANILLA PCS","","","LAFZ","LAFZ",105.93,"PCS",available,29,18,pcs,JA
"LIPBALM VANILLA BEAN","LIPBALM VANILLA BEAN","","","LAFZ","LAFZ",105.93,"PCS",available,6,18,pcs,JA
"PAIN RELIEF SPRAY 60GM","PAIN RELIEF SPRAY 60GM","","","LAFZ","LAFZ",126.49,"60 GM",outOfStock,0,12,pcs,JA
"SERUM HYALURONIC 30ML","SERUM HYALURONIC 30ML","","","LAFZ","LAFZ",352.4,"30 ML",outOfStock,0,18,pcs,JA
"ZM PH LIP TINT PWP","ZM PH LIP TINT PWP","","","LAFZ","LAFZ",314.27,"PCS",available,43,18,pcs,JA
"LIP TINTED STRAWBERRY","LIP TINTED STRAWBERRY","","","LAFZ","LAFZ",123.59,"1.5GM",available,22,18,pcs,JA
"LIP TINTED CHERRY","LIP TINTED CHERRY","","","LAFZ","LAFZ",127.12,"1.5GM",available,15,18,pcs,JA
"OLIVE OIL 100ML","OLIVE OIL 100ML","","","LAFZ","LAFZ",420.2,"100 ML",available,3,18,pcs,JA
"SERUM HAND INTENSE CARE","SERUM HAND INTENSE CARE","","","LAFZ","LAFZ",388.42,"40 ML",available,8,18,pcs,JA
"LIQUID H.LIGHTER SUPERNOV","LIQUID H.LIGHTER SUPERNOV","","","LAFZ","LAFZ",599.58,"30G",available,11,18,pcs,JA
"FACE PRIMER","FACE PRIMER","","","LAFZ","LAFZ",423.02,"30ML",available,5,18,pcs,JA
"KAJAL COMBO BUY2 @ 299","KAJAL COMBO BUY2 @ 299","","","LAFZ","LAFZ",211.16,"COMBO",available,5,18,pcs,JA
"LIP & CHEEK CUSHION VOGUE","LIP & CHEEK CUSHION VOGUE","","","LAFZ","LAFZ",441.38,"2.7 GM",available,3,18,pcs,JA
"LIP & CHEEK CUSHION FIRE","LIP & CHEEK CUSHION FIRE","","","LAFZ","LAFZ",441.38,"2.7 GM",available,45,18,pcs,JA
"LIP & CHEEK CUSHION QUEEN","LIP & CHEEK CUSHION QUEEN","","","LAFZ","LAFZ",441.38,"2.7 GM",available,5,18,pcs,JA
"FACE SERUM VITAMIN C","FACE SERUM VITAMIN C","","","LAFZ","LAFZ",141.24,"30 ML",available,19,18,pcs,JA
"FACE SERUM NEEM","FACE SERUM NEEM","","","LAFZ","LAFZ",141.24,"30 ML",available,5,18,pcs,JA
"SUN SPF 50  50GM","SUN SPF 50  50GM","","","LAFZ","LAFZ",211.86,"50 GM",available,17,18,pcs,JA
